"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3571","alert handle","setup","Wed Aug 27 18:10:50 IST 2025","failed","Wed Aug 27 18:10:54 IST 2025","","Practice\Alerthandle.setup.ts","",""
"","1617","rightClick","setup","Wed Aug 27 18:11:09 IST 2025","passed","Wed Aug 27 18:11:10 IST 2025","","Practice\MouseMovement.setup.ts","",""
"","4879","Sample Test - Verify Page Title after Login @Smoke","setup","Wed Aug 27 18:10:50 IST 2025","passed","Wed Aug 27 18:10:55 IST 2025","","PlaywrightFramework\Test_Scenarios\Login.setup.ts","",""
"","206839","GeoLocation","setup","Wed Aug 27 18:11:01 IST 2025","failed","Wed Aug 27 18:14:28 IST 2025","","Practice\GeoLocation.setup.ts","",""
"","24921","child browser launch","setup","Wed Aug 27 18:14:30 IST 2025","failed","Wed Aug 27 18:14:55 IST 2025","","Practice\multiplebrowser.setup.ts","",""
"","896","Mousehover","setup","Wed Aug 27 18:11:08 IST 2025","passed","Wed Aug 27 18:11:09 IST 2025","","Practice\MouseMovement.setup.ts","",""
"","2528","DynamicElements","setup","Wed Aug 27 18:10:58 IST 2025","passed","Wed Aug 27 18:11:00 IST 2025","","Practice\DynamicElements.setup.ts","",""
"","1180","upload_download","setup","Wed Aug 27 18:14:42 IST 2025","failed","Wed Aug 27 18:14:43 IST 2025","","Practice\upload_download.setup.ts","",""
"","212003","alert event","setup","Wed Aug 27 18:10:50 IST 2025","failed","Wed Aug 27 18:14:22 IST 2025","","Practice\Alerthandle.setup.ts","",""
"","2242","Basic_Auth handle","setup","Wed Aug 27 18:10:57 IST 2025","passed","Wed Aug 27 18:11:00 IST 2025","","Practice\Basic_Authenticate.setup.ts","",""
"","987","DragAndDrop","setup","Wed Aug 27 18:11:07 IST 2025","passed","Wed Aug 27 18:11:08 IST 2025","","Practice\MouseMovement.setup.ts","",""
"","3108","Launch Browser and Login","setup","Wed Aug 27 18:11:04 IST 2025","passed","Wed Aug 27 18:11:07 IST 2025","","Practice\LaunchBrowser_Login.setup.ts","",""
"","9626","Orange HRM","setup","Wed Aug 27 18:14:29 IST 2025","passed","Wed Aug 27 18:14:39 IST 2025","","Practice\Orange_hrm.setup.ts","",""
"","1090","Scroll","setup","Wed Aug 27 18:14:40 IST 2025","passed","Wed Aug 27 18:14:41 IST 2025","","Practice\Scroll.setup.ts","",""
"","978","shadowElement","setup","Wed Aug 27 18:14:41 IST 2025","passed","Wed Aug 27 18:14:42 IST 2025","","Practice\shodowElement.setup.ts","",""
"","1706","FrameHandle","setup","Wed Aug 27 18:11:00 IST 2025","passed","Wed Aug 27 18:11:02 IST 2025","","Practice\FrameHandle.setup.ts","",""
"","4141","multiple page launch","setup","Wed Aug 27 18:14:25 IST 2025","passed","Wed Aug 27 18:14:29 IST 2025","","Practice\multiplebrowser.setup.ts","",""
"","15750","shadowDom","setup","Wed Aug 27 18:14:43 IST 2025","failed","Wed Aug 27 18:14:59 IST 2025","","Practice\shodowElement.setup.ts","",""
"","209856","doubleClick","setup","Wed Aug 27 18:11:10 IST 2025","failed","Wed Aug 27 18:14:40 IST 2025","","Practice\MouseMovement.setup.ts","",""
"","1727","keyboard","setup","Wed Aug 27 18:11:02 IST 2025","passed","Wed Aug 27 18:11:04 IST 2025","","Practice\keyboard.setup.ts","",""
"","6","dropdownlandle handle","setup","Wed Aug 27 18:10:56 IST 2025","failed","Wed Aug 27 18:10:56 IST 2025","","Practice\DropDown.setup.ts","",""
"","17763","download","setup","Wed Aug 27 18:14:46 IST 2025","failed","Wed Aug 27 18:15:03 IST 2025","","Practice\upload_download.setup.ts","",""
